first_name,last_name,first_name_ar,last_name_ar,id
Nayla,Tueni,نايلة,تويني,9501
Nadim,Gemayel,نديم,الجميل,11399
Michel,Pharaon,ميشال,فرعون,13061
Serge,Torsarkissian,سيرج,طورسركيسيان,24165
Jean,Ogassapian,جان,أوغاسبيان,15722
Sebouh,Kalbakian,سيبوه,قلبقيان,14130
Arthur,Nazarian,آرثور,نزاريان,12803
Hani,Kobeissy,هاني,قبيسي,10064
Nohad,El Machnouk,نهاد,المشنوق,15532
Saad,Hariri,سعد الدين,الحريري,9410
Ammar,Houry,عمار,حوري,7350
Mohamad,Kabbani,محمد,قباني,12252
Tamam,Salam,تمام,سلام,6982
Imad,El Hout,عماد,الحوت,11140
Ghazi,Youssef,غازي,يوسف,9952
Ghazi,Aridi,غازي,العريضي,9414
Atef,Majdalani,عاطف,مجدلاني,10939
Bassem,Chabb,باسم,الشاب,8071
Nabil,de Freige,نبيل,دو فريج,14941
Khaled,Zahramam,خالد,زهرمان,12676
Khaled,El Daher,خالد,الضاهر,11713
Mouiine,El Merehbi,معين,المرعبي,17045
Khodr,Habib,خضر,حبيب,6926
Riad,Rahal,رياض,رحال,5761
Nidal,Tohme,نضال,طعمه,7012
Hadi,Hobeiche,هادي,حبيش,9541
Hachem,Alameddine,هاشم,علم الدين,15790
Ahmad,Fatfat,أحمد,فتفت,10747
Kassem,Abdulaziz,قاسم,عبد العزيز,14664
Mohammad,Safadi,محمد,الصفدي,15305
Najib,Mikati,نجيب,ميقاتي,11663
Ahmad,Karami,أحمد,كرامي,8202
Samir,El Jisr,سمير,الجسر,9081
Mohammad,Kabbara,محمد,كبارة,18043
Badr,Wannous,بدر,ونوس,8578
Robert,Fadel,روبير,فاضل,8144
Samer,Saadeh,سامر,سعادة,8193
Sleiman,Frangieh,سليمان,فرنجية,18442
Salim,Karam,سليم,كرم,7019
Estephan,Douaihy,إسطفان,دويهي,14522
Farid,Makari,فريد,مكاري,11612
Nicolas,Ghosn,نقولا,غصن,9708
Farid,Habib,فريد,حبيب,6808
Fadi,Karam,فادي,كرم,5825
Strida,Geagea,ستريدا,جعجع,9367
Elie,Keyrouz,إيلي,كيروز,8780
Antoine,Zahra,أنطوان,زهرا,9681
Boutros,Harb,بطرس,حرب,9983
Walid,Khoury,وليد,خوري,8630
Simon,Abi Ramia,سيمون,أبي رميا,11734
Abbas,Hachem,عباس,هاشم,11518
Michel,Aoun,ميشال,عون,9390
Neemtallah,Abi Nasr,نعمة الله,أبي نصر,18543
Youssef,Khalil,يوسف,خليل,11123
Gilbert,Zouein,جلبيرت,زوين,11371
Farid,El Khazen,فريد,الخازن,11968
Ibrahim,Kanaan,إبراهيم,كنعان,10905
Nabil,Nicolas,نبيل,نقولا,9639
Salim,Salhab,سليم,سلهب,8143
Samy,Gemayel,سامي,جميل,8380
